Player,Age,Squad,Comp,Pos,Role,Min,Gls,Ast,G+A,xG,xAG,PrgP,starter_ratio
Paul Nebel,21.0,Mainz 05,de Bundesliga,MF,Defender,2345,10,4,14,5.8,4.1,91,0.8387096774193549
Kosta Nedeljković,18.0,Aston Villa,eng Premier League,DF,Finisher,126,0,0,0,0.0,0.0,6,0.0
Kosta Nedeljković,18.0,RB Leipzig,de Bundesliga,DF,Finisher,479,0,0,0,0.5,0.3,16,0.6
Luca Netz,21.0,Gladbach,de Bundesliga,DF,Finisher,969,0,2,2,0.2,1.9,28,0.3333333333333333
João Neves,19.0,Paris S-G,fr Ligue 1,"MF,DF",Defender,1844,3,8,11,3.0,4.0,144,0.7586206896551724
Mikayil Ngor Faye,20.0,Rennes,fr Ligue 1,DF,Finisher,688,0,0,0,0.4,0.0,35,0.6363636363636364
Steve Ngoura,19.0,Le Havre,fr Ligue 1,FW,Finisher,289,0,0,0,1.3,0.4,8,0.25
Bernard Nguene,17.0,Nice,fr Ligue 1,FW,Finisher,13,0,0,0,0.0,0.0,0,0.0
Oliver Nielsen,21.0,Lazio,it Serie A,DF,Finisher,35,0,0,0,0.0,0.0,0,0.0
Eybi Nije,19.0,Torino,it Serie A,"FW,MF",Finisher,394,1,0,1,1.5,0.4,7,0.0
Adrian Niño,20.0,Atlético Madrid,es La Liga,FW,Finisher,12,0,0,0,0.2,0.0,0,0.0
Brooke Norton-Cuffy,20.0,Genoa,it Serie A,"DF,FW",Finisher,719,0,0,0,0.3,0.2,18,0.5714285714285714
Hugo Novoa,21.0,Alavés,es La Liga,"DF,MF",Finisher,237,0,0,0,0.5,0.2,2,0.4
Ernest Nuamah,20.0,Lyon,fr Ligue 1,"FW,MF",Playmaker,1052,3,1,4,2.2,1.5,33,0.5652173913043478
Gustavo Nunes,18.0,Brentford,eng Premier League,"FW,MF",Finisher,12,0,0,0,0.0,0.0,0,0.0
Antonio Nusa,19.0,RB Leipzig,de Bundesliga,"MF,DF",Playmaker,1558,3,3,6,1.6,2.8,52,0.64
Ethan Nwaneri,17.0,Arsenal,eng Premier League,"FW,MF",Playmaker,895,4,2,6,1.2,1.2,33,0.4230769230769231
Rabby Nzingoula,18.0,Montpellier,fr Ligue 1,MF,Playmaker,1689,1,0,1,1.0,1.6,40,0.7407407407407407
Marwann Nzuzi,20.0,Saint-Étienne,fr Ligue 1,DF,Finisher,125,0,0,0,0.0,0.1,2,1.0
Adam Obert,21.0,Cagliari,it Serie A,DF,Playmaker,1077,1,1,2,0.9,0.4,50,0.6190476190476191
Chidozie Obi-Martin,16.0,Manchester Utd,eng Premier League,FW,Finisher,165,0,0,0,0.7,0.0,1,0.14285714285714285
Wilson Odobert,19.0,Tottenham,eng Premier League,"FW,MF",Finisher,850,1,0,1,1.6,1.0,27,0.5625
David Odogu,18.0,Wolfsburg,de Bundesliga,DF,Finisher,195,0,0,0,0.2,0.0,8,0.6666666666666666
Tim Oermann,20.0,Bochum,de Bundesliga,DF,Playmaker,2213,0,2,2,0.2,0.6,61,0.896551724137931
Ifechukwu Ogbus,18.0,Freiburg,de Bundesliga,DF,Finisher,19,0,0,0,0.0,0.0,0,0.0
Thiago Ojeda,21.0,Villarreal,es La Liga,MF,Finisher,8,0,0,0,0.0,0.0,2,0.0
Hamzat Ojediran,20.0,Lens,fr Ligue 1,"MF,FW",Finisher,416,1,0,1,0.6,0.4,22,0.058823529411764705
Yllan Okou,21.0,Hellas Verona,it Serie A,DF,Finisher,2,0,0,0,0.0,0.0,0,0.0
Aingeru Olabarrieta,18.0,Athletic Club,es La Liga,FW,Finisher,54,0,0,0,0.0,0.0,1,1.0
Kazeem Olaigbe,21.0,Rennes,fr Ligue 1,"MF,FW",Finisher,299,0,2,2,0.3,1.9,18,0.3
Ben Old,21.0,Saint-Étienne,fr Ligue 1,"FW,MF",Finisher,528,0,0,0,1.0,0.8,14,0.3076923076923077
Jacob Ondrejka,21.0,Parma,it Serie A,"MF,FW",Finisher,422,5,0,5,1.3,0.6,11,0.25
Fredrik Oppegard,21.0,Auxerre,fr Ligue 1,DF,Finisher,273,0,0,0,0.1,0.1,7,0.2222222222222222
Victor Orakpo,18.0,Nice,fr Ligue 1,FW,Finisher,36,0,0,0,0.3,0.0,1,0.0
Ike Orazi,17.0,Reims,fr Ligue 1,MF,Finisher,3,0,0,0,0.0,0.0,0,0.0
Lewis Orford,18.0,West Ham,eng Premier League,MF,Finisher,49,0,0,0,0.0,0.0,0,0.0
Gaetano Oristanio,21.0,Venezia,it Serie A,"FW,MF",Playmaker,2315,3,3,6,4.1,2.6,64,0.7837837837837838
Ángel Ortíz,20.0,Betis,es La Liga,DF,Finisher,353,0,1,1,0.0,0.1,15,0.8
